0.1	Boolean retrieval
0.1.1	An example information retrieval problem
0.1.2	A first take at building an inverted index
0.1.3	Processing Boolean queries
0.1.4	The extended Boolean model versus ranked retrieval
0.1.5	References and further reading
0.2	The term vocabulary and postings lists
0.2.1	Document delineation and character sequence decoding
0.2.1.1	Obtaining the character sequence in a document
0.2.1.2	Choosing a document unit
0.2.2	Determining the vocabulary of terms
0.2.2.1	Tokenization
0.2.2.2	Dropping common terms: stop words
0.2.2.3	Normalization (equivalence classing of terms)
0.2.2.4	Stemming and lemmatization
0.2.3	Faster postings list intersection via skip pointers
0.2.4	Positional postings and phrase queries
0.2.4.1	Biword indexes
0.2.4.2	Positional indexes
0.2.4.3	Combination schemes
0.2.5	References and further reading
0.3	Dictionaries and tolerant retrieval
0.3.1	Search structures for dictionaries
0.3.2	Wildcard queries
0.3.2.1	General wildcard queries
0.3.2.2	k-gram indexes for wildcard queries
0.3.3	Spelling correction
0.3.3.1	Implementing spelling correction
0.3.3.2	Forms of spelling correction
0.3.3.3	Edit distance
0.3.3.4	k-gram indexes for spelling correction
0.3.3.5	Context sensitive spelling correction
0.3.4	Phonetic correction
0.3.5	References and further reading
0.4	Index construction
0.4.1	Hardware basics
0.4.2	Blocked sort-based indexing
0.4.3	Single-pass in-memory indexing
0.4.4	Distributed indexing
0.4.5	Dynamic indexing
0.4.6	Other types of indexes
0.4.7	References and further reading
0.5	Index compression
0.5.1	Statistical properties of terms in information retrieval
0.5.1.1	Heaps' law: Estimating the number of terms
0.5.1.2	Zipf's law: Modeling the distribution of terms
0.5.2	Dictionary compression
0.5.2.1	Dictionary as a string
0.5.2.2	Blocked storage
0.5.3	Postings file compression
0.5.3.1	Variable byte codes
0.5.3.2	Gamma codes
0.5.4	References and further reading
0.6	Scoring, term weighting and the vector space model
0.6.1	Parametric and zone indexes
0.6.1.1	Weighted zone scoring
0.6.1.2	Learning weights
0.6.1.3	The optimal weight g
0.6.2	Term frequency and weighting
0.6.2.1	Inverse document frequency
0.6.2.2	Tf-idf weighting
0.6.3	The vector space model for scoring
0.6.3.1	Dot products
0.6.3.2	Queries as vectors
0.6.3.3	Computing vector scores
0.6.4	Variant tf-idf functions
0.6.4.1	Sublinear tf scaling
0.6.4.2	Maximum tf normalization
0.6.4.3	Document and query weighting schemes
0.6.4.4	Pivoted normalized document length
0.6.5	References and further reading
0.7	Computing scores in a complete search system
0.7.1	Efficient scoring and ranking
0.7.1.1	Inexact top K document retrieval
0.7.1.2	Index elimination
0.7.1.3	Champion lists
0.7.1.4	Static quality scores and ordering
0.7.1.5	Impact ordering
0.7.1.6	Cluster pruning
0.7.2	Components of an information retrieval system
0.7.2.1	Tiered indexes
0.7.2.2	Query-term proximity
0.7.2.3	Designing parsing and scoring functions
0.7.2.4	Putting it all together
0.7.3	Vector space scoring and query operator interaction
0.7.4	References and further reading
0.8	Evaluation in information retrieval
0.8.1	Information retrieval system evaluation
0.8.2	Standard test collections
0.8.3	Evaluation of unranked retrieval sets
0.8.4	Evaluation of ranked retrieval results
0.8.5	Assessing relevance
0.8.5.1	Critiques and justifications of the concept of relevance
0.8.6	A broader perspective: System quality and user utility
0.8.6.1	System issues
0.8.6.2	User utility
0.8.6.3	Refining a deployed system
0.8.7	Results snippets
0.8.8	References and further reading
0.9	Relevance feedback and query expansion
0.9.1	Relevance feedback and pseudo relevance feedback
0.9.1.1	The Rocchio algorithm for relevance feedback
0.9.1.2	Probabilistic relevance feedback
0.9.1.3	When does relevance feedback work?
0.9.1.4	Relevance feedback on the web
0.9.1.5	Evaluation of relevance feedback strategies
0.9.1.6	Pseudo relevance feedback
0.9.1.7	Indirect relevance feedback
0.9.1.8	Summary
0.9.2	Global methods for query reformulation
0.9.2.1	Vocabulary tools for query reformulation
0.9.2.2	Query expansion
0.9.2.3	Automatic thesaurus generation
0.9.3	References and further reading
0.10	XML retrieval
0.10.1	Basic XML concepts
0.10.2	Challenges in XML retrieval
0.10.3	A vector space model for XML retrieval
0.10.4	Evaluation of XML retrieval
0.10.5	Text-centric vs. data-centric XML retrieval
0.10.6	References and further reading
0.10.7	Exercises
0.11	Probabilistic information retrieval
0.11.1	Review of basic probability theory
0.11.2	The Probability Ranking Principle
0.11.2.1	The 1/0 loss case
0.11.2.2	The PRP with retrieval costs
0.11.3	The Binary Independence Model
0.11.3.1	Deriving a ranking function for query terms
0.11.3.2	Probability estimates in theory
0.11.3.3	Probability estimates in practice
0.11.3.4	Probabilistic approaches to relevance feedback
0.11.4	An appraisal and some extensions
0.11.4.1	An appraisal of probabilistic models
0.11.4.2	Tree-structured dependencies between terms
0.11.4.3	Okapi BM25: a non-binary model
0.11.4.4	Bayesian network approaches to IR
0.11.5	References and further reading
0.12	Language models for information retrieval
0.12.1	Language models
0.12.1.1	Finite automata and language models
0.12.1.2	Types of language models
0.12.1.3	Multinomial distributions over words
0.12.2	The query likelihood model
0.12.2.1	Using query likelihood language models in IR
0.12.2.2	Estimating the query generation probability
0.12.2.3	Ponte and Croft's Experiments
0.12.3	Language modeling versus other approaches in IR
0.12.4	Extended language modeling approaches
0.12.5	References and further reading
0.13	Text classification and Naive Bayes
0.13.1	The text classification problem
0.13.2	Naive Bayes text classification
0.13.2.1	Relation to multinomial unigram language model
0.13.3	The Bernoulli model
0.13.4	Properties of Naive Bayes
0.13.4.1	A variant of the multinomial model
0.13.5	Feature selection
0.13.5.1	Mutual information
0.13.5.2	Chi^2 Feature selectionChi2 Feature selection
0.13.5.3	Frequency-based feature selection
0.13.5.4	Feature selection for multiple classifiers
0.13.5.5	Comparison of feature selection methods
0.13.6	Evaluation of text classification
0.13.7	References and further reading
0.14	Vector space classification
0.14.1	Document representations and measures of relatedness in vector spaces
0.14.2	Rocchio classification
0.14.3	k nearest neighbor
0.14.3.1	Time complexity and optimality of kNN
0.14.4	Linear versus nonlinear classifiers
0.14.5	Classification with more than two classes
0.14.6	The bias-variance tradeoff
0.14.7	References and further reading
0.14.8	Exercises
0.15	Support vector machines and machine learning on documents
0.15.1	Support vector machines: The linearly separable case
0.15.2	Extensions to the SVM model
0.15.2.1	Soft margin classification
0.15.2.2	Multiclass SVMs
0.15.2.3	Nonlinear SVMs
0.15.2.4	Experimental results
0.15.3	Issues in the classification of text documents
0.15.3.1	Choosing what kind of classifier to use
0.15.3.2	Improving classifier performance
0.15.4	Machine learning methods in ad hoc information retrieval
0.15.4.1	A simple example of machine-learned scoring
0.15.4.2	Result ranking by machine learning
0.15.5	References and further reading
0.16	Flat clustering
0.16.1	Clustering in information retrieval
0.16.2	Problem statement
0.16.2.1	Cardinality - the number of clusters
0.16.3	Evaluation of clustering
0.16.4	K-means
0.16.4.1	Cluster cardinality in K-means
0.16.5	Model-based clustering
0.16.6	References and further reading
0.16.7	Exercises
0.17	Hierarchical clustering
0.17.1	Hierarchical agglomerative clustering
0.17.2	Single-link and complete-link clustering
0.17.2.1	Time complexity of HAC
0.17.3	Group-average agglomerative clustering
0.17.4	Centroid clustering
0.17.5	Optimality of HAC
0.17.6	Divisive clustering
0.17.7	Cluster labeling
0.17.8	Implementation notes
0.17.9	References and further reading
0.17.10	Exercises
0.18	Matrix decompositions and latent semantic indexing
0.18.1	Linear algebra review
0.18.1.1	Matrix decompositions
0.18.2	Term-document matrices and singular value decompositions
0.18.3	Low-rank approximations
0.18.4	Latent semantic indexing
0.18.5	References and further reading
0.19	Web search basics
0.19.1	Background and history
0.19.2	Web characteristics
0.19.2.1	The web graph
0.19.2.2	Spam
0.19.3	Advertising as the economic model
0.19.4	The search user experience
0.19.4.1	User query needs
0.19.5	Index size and estimation
0.19.6	Near-duplicates and shingling
0.19.7	References and further reading
0.20	Web crawling and indexes
0.20.1	Overview
0.20.1.1	Features a crawler must provide
0.20.1.2	Features a crawler should provide
0.20.2	Crawling
0.20.2.1	Crawler architecture
0.20.2.2	DNS resolution
0.20.2.3	The URL frontier
0.20.3	Distributing indexes
0.20.4	Connectivity servers
0.20.5	References and further reading
0.21	Link analysis
0.21.1	The Web as a graph
0.21.1.1	Anchor text and the web graph
0.21.2	PageRank
0.21.2.1	Markov chains
0.21.2.2	The PageRank computation
0.21.2.3	Topic-specific PageRank
0.21.3	Hubs and Authorities
0.21.3.1	Choosing the subset of the Web
0.21.4	References and further reading
